user_id,signup_date,signup_month,source,plan,ab_variant,activated,first_applied,retained_7d,retained_30d,sessions_per_week,applies_per_session,ai_applies_pct,msg_open_rate,followup_click_rate
U00038,2024-10-16,2024-10,LinkedIn Ad,Team,A - Control (Old Onboarding),1,1,1,0,4,2.8,0.99,0.29,0.25
U00039,2024-06-02,2024-06,LinkedIn Ad,Team,B - Variant (AI Job Match),1,1,1,1,6,5.6,0.97,0.4,0.22
U00040,2024-10-02,2024-10,Organic Search,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00041,2024-05-05,2024-05,LinkedIn Ad,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00042,2024-11-09,2024-11,Twitter/X,Pro,B - Variant (AI Job Match),1,1,0,0,1,4.0,0.93,0.28,0.12
U00043,2024-02-23,2024-02,Twitter/X,Free,A - Control (Old Onboarding),1,1,1,0,3,3.1,0.63,0.32,0.2
U00044,2024-06-24,2024-06,Organic Search,Free,A - Control (Old Onboarding),1,0,0,0,1,2.6,0.68,0.34,0.13
U00045,2024-01-27,2024-01,Organic Search,Free,A - Control (Old Onboarding),1,1,0,0,2,3.6,0.67,0.36,0.18
U00046,2024-05-14,2024-05,Organic Search,Free,B - Variant (AI Job Match),1,1,0,0,2,4.8,0.86,0.52,0.17
U00047,2024-12-19,2024-12,Twitter/X,Free,B - Variant (AI Job Match),1,1,1,0,2,2.6,0.76,0.53,0.25
U00048,2024-01-21,2024-01,Product Hunt,Free,A - Control (Old Onboarding),1,1,0,0,5,4.2,0.66,0.17,0.27
U00049,2024-07-27,2024-07,Twitter/X,Pro,B - Variant (AI Job Match),1,1,0,0,1,3.5,0.91,0.37,0.29
U00050,2024-03-31,2024-03,Product Hunt,Free,B - Variant (AI Job Match),1,0,0,0,1,2.3,0.73,0.39,0.23
U00051,2024-12-08,2024-12,Product Hunt,Pro,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00052,2024-02-25,2024-02,LinkedIn Ad,Free,A - Control (Old Onboarding),1,0,0,0,1,3.1,0.97,0.35,0.29
U00053,2024-06-28,2024-06,Organic Search,Pro,A - Control (Old Onboarding),1,1,1,0,2,3.6,1.0,0.24,0.23
U00054,2024-05-22,2024-05,LinkedIn Ad,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00055,2024-06-18,2024-06,Twitter/X,Free,B - Variant (AI Job Match),1,0,0,0,2,1.8,0.66,0.47,0.25
U00056,2024-05-15,2024-05,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00057,2024-08-11,2024-08,Referral,Free,A - Control (Old Onboarding),1,1,0,0,2,0.8,0.56,0.41,0.21
U00058,2024-01-01,2024-01,LinkedIn Ad,Pro,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00059,2024-12-09,2024-12,Organic Search,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00060,2024-11-15,2024-11,Organic Search,Pro,B - Variant (AI Job Match),1,1,1,0,1,4.8,0.82,0.26,0.17
U00061,2024-05-31,2024-05,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,1,0,2,4.2,0.82,0.28,0.13
U00062,2024-07-26,2024-07,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,0,0,2,4.8,0.69,0.4,0.2
U00063,2024-08-26,2024-08,LinkedIn Ad,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00064,2024-03-27,2024-03,Referral,Free,B - Variant (AI Job Match),1,1,0,0,1,3.3,0.55,0.28,0.1
U00065,2024-04-30,2024-04,Referral,Free,A - Control (Old Onboarding),1,1,0,0,1,4.6,1.0,0.44,0.15
U00066,2024-02-07,2024-02,LinkedIn Ad,Pro,B - Variant (AI Job Match),1,1,1,1,4,2.6,0.8,0.29,0.14
U00067,2024-12-18,2024-12,Organic Search,Pro,B - Variant (AI Job Match),1,1,1,0,5,4.1,0.94,0.24,0.19
U00068,2024-09-22,2024-09,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,1,0,3,4.9,0.75,0.25,0.22
U00069,2024-10-13,2024-10,LinkedIn Ad,Team,B - Variant (AI Job Match),1,1,1,0,2,4.3,0.81,0.42,0.26
U00070,2024-10-07,2024-10,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,0,0,1,4.4,0.73,0.39,0.29
U00071,2024-05-21,2024-05,Referral,Free,B - Variant (AI Job Match),1,1,1,1,1,4.9,0.84,0.12,0.21
U00072,2024-06-12,2024-06,Product Hunt,Free,A - Control (Old Onboarding),1,1,1,0,4,3.2,0.69,0.42,0.03
U00073,2024-06-18,2024-06,LinkedIn Ad,Free,A - Control (Old Onboarding),1,0,0,0,1,3.0,0.79,0.25,0.15
U00074,2024-10-26,2024-10,Twitter/X,Free,B - Variant (AI Job Match),1,1,0,0,1,4.3,0.59,0.26,0.29
U00075,2024-06-01,2024-06,Referral,Pro,B - Variant (AI Job Match),1,1,1,0,2,3.7,0.98,0.48,0.21
U00076,2024-04-22,2024-04,LinkedIn Ad,Free,A - Control (Old Onboarding),1,0,0,0,1,1.3,0.74,0.42,0.12
U00077,2024-07-26,2024-07,Referral,Pro,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00078,2024-09-30,2024-09,Organic Search,Free,B - Variant (AI Job Match),1,1,1,0,7,2.6,0.95,0.36,0.19
U00079,2024-01-26,2024-01,Organic Search,Free,A - Control (Old Onboarding),1,0,0,0,1,2.9,0.85,0.17,0.29
U00080,2024-05-22,2024-05,Referral,Pro,A - Control (Old Onboarding),1,1,0,0,2,0.8,1.0,0.26,0.07
U00081,2024-06-28,2024-06,Organic Search,Free,B - Variant (AI Job Match),1,1,1,0,5,2.6,0.6,0.39,0.12
U00082,2024-11-14,2024-11,Organic Search,Free,B - Variant (AI Job Match),1,1,0,0,1,3.3,0.8,0.33,0.19
U00083,2024-07-07,2024-07,Organic Search,Free,B - Variant (AI Job Match),1,0,0,0,1,3.9,0.9,0.07,0.26
U00084,2024-06-08,2024-06,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00085,2024-07-11,2024-07,LinkedIn Ad,Pro,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00086,2024-11-17,2024-11,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00087,2024-03-02,2024-03,Product Hunt,Free,A - Control (Old Onboarding),1,1,1,0,1,4.9,0.78,0.26,0.17
U00088,2024-01-07,2024-01,Product Hunt,Pro,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00089,2024-11-21,2024-11,Product Hunt,Free,A - Control (Old Onboarding),1,1,0,0,1,2.6,0.57,0.41,0.16
U00090,2024-11-11,2024-11,Product Hunt,Free,A - Control (Old Onboarding),1,1,1,0,4,4.2,0.52,0.52,0.09
U00091,2024-02-14,2024-02,Organic Search,Free,B - Variant (AI Job Match),1,1,1,0,3,2.5,0.84,0.34,0.16
U00092,2024-06-15,2024-06,Organic Search,Free,B - Variant (AI Job Match),1,1,0,0,1,2.7,0.73,0.18,0.22
U00093,2024-05-21,2024-05,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,0,0,1,3.4,0.75,0.44,0.3
U00094,2024-05-03,2024-05,Referral,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00095,2024-02-17,2024-02,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00096,2024-07-07,2024-07,LinkedIn Ad,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00097,2024-06-18,2024-06,LinkedIn Ad,Free,A - Control (Old Onboarding),1,0,0,0,1,2.4,0.74,0.2,0.22
U00098,2024-06-10,2024-06,Organic Search,Free,B - Variant (AI Job Match),1,1,1,0,6,3.5,0.73,0.6,0.17
U00099,2024-09-25,2024-09,LinkedIn Ad,Team,B - Variant (AI Job Match),1,1,1,0,6,2.1,1.0,0.21,0.16
U00100,2024-03-05,2024-03,Organic Search,Team,B - Variant (AI Job Match),1,1,0,0,3,4.9,0.7,0.33,0.24
U00101,2024-09-08,2024-09,Organic Search,Free,A - Control (Old Onboarding),1,1,0,0,5,1.1,0.78,0.24,0.27
U00102,2024-05-09,2024-05,Twitter/X,Free,B - Variant (AI Job Match),1,1,0,0,2,1.9,0.75,0.43,0.19
U00103,2024-01-28,2024-01,Organic Search,Pro,B - Variant (AI Job Match),1,1,1,1,6,3.8,0.84,0.26,0.11
U00104,2024-11-01,2024-11,Product Hunt,Free,B - Variant (AI Job Match),1,1,0,0,1,4.0,0.62,0.57,0.13
U00105,2024-08-07,2024-08,Organic Search,Free,B - Variant (AI Job Match),1,0,0,0,1,3.6,0.65,0.4,0.14
U00106,2024-04-16,2024-04,Referral,Free,A - Control (Old Onboarding),1,1,1,0,4,3.0,0.54,0.49,0.31
U00107,2024-12-18,2024-12,LinkedIn Ad,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00108,2024-12-25,2024-12,Product Hunt,Free,A - Control (Old Onboarding),1,1,0,0,2,0.7,0.57,0.43,0.11
U00109,2024-04-11,2024-04,LinkedIn Ad,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00110,2024-03-13,2024-03,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00111,2024-10-18,2024-10,Twitter/X,Free,A - Control (Old Onboarding),1,1,0,0,2,1.8,0.8,0.52,0.22
U00112,2024-10-03,2024-10,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,1,1,6,3.4,0.68,0.26,0.13
U00113,2024-12-11,2024-12,Product Hunt,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00114,2024-12-10,2024-12,Product Hunt,Free,B - Variant (AI Job Match),1,1,1,1,4,5.0,0.98,0.31,0.2
U00115,2024-10-26,2024-10,LinkedIn Ad,Pro,B - Variant (AI Job Match),1,1,1,1,5,5.5,0.76,0.35,0.13
U00116,2024-03-23,2024-03,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00117,2024-10-08,2024-10,Organic Search,Free,A - Control (Old Onboarding),1,0,0,0,1,3.3,0.91,0.33,0.14
U00118,2024-09-20,2024-09,Product Hunt,Free,B - Variant (AI Job Match),1,1,0,0,1,5.0,0.84,0.45,0.27
U00119,2024-11-14,2024-11,Referral,Free,B - Variant (AI Job Match),1,1,0,0,2,5.0,0.71,0.36,0.16
U00120,2024-08-12,2024-08,Product Hunt,Free,A - Control (Old Onboarding),1,0,0,0,3,4.5,0.76,0.39,0.22
U00121,2024-12-29,2024-12,Organic Search,Free,B - Variant (AI Job Match),1,0,0,0,1,5.8,0.87,0.39,0.11
U00122,2024-02-28,2024-02,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,0,0,1,3.3,0.72,0.18,0.22
U00123,2024-05-19,2024-05,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,1,0,1,5.8,0.66,0.44,0.1
U00124,2024-03-10,2024-03,Product Hunt,Free,B - Variant (AI Job Match),1,1,1,0,1,7.1,0.72,0.39,0.3
U00125,2024-05-24,2024-05,Referral,Pro,B - Variant (AI Job Match),1,1,1,0,2,6.4,0.96,0.28,0.22
U00126,2024-06-19,2024-06,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,0,0,4,2.0,0.73,0.44,0.17
U00127,2024-10-19,2024-10,LinkedIn Ad,Pro,A - Control (Old Onboarding),1,1,0,0,1,1.6,0.82,0.4,0.26
U00128,2024-07-14,2024-07,LinkedIn Ad,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00129,2024-09-10,2024-09,Twitter/X,Free,B - Variant (AI Job Match),1,1,0,0,3,3.6,0.75,0.45,0.17
U00130,2024-02-21,2024-02,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,1,0,2,4.5,0.85,0.51,0.15
U00131,2024-05-15,2024-05,Organic Search,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00132,2024-12-11,2024-12,Product Hunt,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00133,2024-09-06,2024-09,Product Hunt,Free,A - Control (Old Onboarding),1,0,0,0,1,4.6,0.89,0.28,0.21
U00134,2024-04-26,2024-04,Referral,Free,A - Control (Old Onboarding),1,0,0,0,1,3.2,0.69,0.17,0.18
U00135,2024-08-15,2024-08,Organic Search,Free,A - Control (Old Onboarding),1,1,0,0,1,3.1,0.76,0.33,0.24
U00136,2024-08-08,2024-08,Organic Search,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00137,2024-03-28,2024-03,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00138,2024-09-11,2024-09,Twitter/X,Free,A - Control (Old Onboarding),1,1,1,0,5,3.1,0.82,0.46,0.27
U00139,2024-05-27,2024-05,Referral,Free,A - Control (Old Onboarding),1,1,0,0,1,2.4,0.65,0.34,0.13
U00140,2024-08-05,2024-08,Referral,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00141,2024-09-04,2024-09,Organic Search,Free,A - Control (Old Onboarding),1,1,1,0,3,2.8,0.74,0.39,0.17
U00142,2024-07-21,2024-07,Organic Search,Free,B - Variant (AI Job Match),1,1,1,0,1,4.7,0.85,0.24,0.22
U00143,2024-05-26,2024-05,Referral,Free,B - Variant (AI Job Match),1,1,1,0,8,4.5,0.74,0.38,0.1
U00144,2024-12-03,2024-12,Referral,Free,A - Control (Old Onboarding),1,1,0,0,1,4.0,0.69,0.37,0.28
U00145,2024-01-18,2024-01,LinkedIn Ad,Pro,A - Control (Old Onboarding),1,1,1,1,6,2.6,0.88,0.23,0.08
U00146,2024-10-03,2024-10,Product Hunt,Free,B - Variant (AI Job Match),1,1,0,0,1,1.6,0.92,0.44,0.13
U00147,2024-09-03,2024-09,Twitter/X,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00148,2024-08-27,2024-08,Twitter/X,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00149,2024-12-11,2024-12,Twitter/X,Team,B - Variant (AI Job Match),1,1,1,0,7,2.2,0.97,0.37,0.19
U00150,2024-08-20,2024-08,LinkedIn Ad,Pro,A - Control (Old Onboarding),1,1,1,0,4,2.7,1.0,0.42,0.14
U00151,2024-08-29,2024-08,Organic Search,Pro,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00152,2024-04-23,2024-04,Referral,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00153,2024-11-28,2024-11,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,1,0,2,4.5,0.72,0.4,0.2
U00154,2024-03-10,2024-03,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,0,0,4,4.8,0.56,0.45,0.16
U00155,2024-03-20,2024-03,Product Hunt,Free,B - Variant (AI Job Match),1,1,1,0,4,3.2,0.98,0.22,0.2
U00156,2024-04-21,2024-04,LinkedIn Ad,Team,B - Variant (AI Job Match),1,1,1,0,1,5.7,1.0,0.19,0.2
U00157,2024-07-02,2024-07,Organic Search,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00158,2024-08-20,2024-08,Organic Search,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00159,2024-01-26,2024-01,Product Hunt,Free,A - Control (Old Onboarding),1,1,0,0,1,1.9,0.84,0.45,0.2
U00160,2024-04-16,2024-04,LinkedIn Ad,Pro,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00161,2024-11-01,2024-11,Organic Search,Pro,A - Control (Old Onboarding),1,1,1,0,1,1.9,0.88,0.28,0.23
U00162,2024-01-14,2024-01,Organic Search,Free,B - Variant (AI Job Match),1,1,1,1,5,3.9,0.93,0.35,0.13
U00163,2024-08-03,2024-08,LinkedIn Ad,Pro,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00164,2024-09-19,2024-09,LinkedIn Ad,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00165,2024-12-03,2024-12,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,1,0,5,4.3,0.81,0.35,0.27
U00166,2024-09-08,2024-09,Referral,Free,B - Variant (AI Job Match),1,1,1,0,3,2.9,0.61,0.27,0.16
U00167,2024-10-26,2024-10,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,0,0,2,2.3,0.72,0.42,0.19
U00168,2024-02-20,2024-02,Product Hunt,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00169,2024-10-09,2024-10,Referral,Free,A - Control (Old Onboarding),1,1,0,0,2,3.2,0.58,0.3,0.11
U00170,2024-07-31,2024-07,Referral,Free,A - Control (Old Onboarding),1,0,0,0,1,3.0,1.0,0.31,0.13
U00171,2024-12-17,2024-12,Twitter/X,Free,B - Variant (AI Job Match),1,1,0,0,1,3.5,0.7,0.35,0.22
U00172,2024-03-07,2024-03,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,1,0,2,4.8,0.57,0.24,0.21
U00173,2024-08-04,2024-08,Product Hunt,Pro,B - Variant (AI Job Match),1,1,1,1,2,3.7,0.9,0.36,0.18
U00174,2024-12-02,2024-12,LinkedIn Ad,Pro,A - Control (Old Onboarding),1,1,1,0,2,2.6,1.0,0.29,0.1
U00175,2024-08-07,2024-08,Product Hunt,Team,B - Variant (AI Job Match),1,1,1,0,1,3.5,0.57,0.29,0.21
U00176,2024-12-21,2024-12,Organic Search,Free,B - Variant (AI Job Match),1,1,1,0,2,2.8,0.72,0.46,0.12
U00177,2024-10-16,2024-10,Referral,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00178,2024-02-16,2024-02,Referral,Free,A - Control (Old Onboarding),1,1,0,0,4,2.1,0.94,0.41,0.15
U00179,2024-10-17,2024-10,LinkedIn Ad,Pro,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00180,2024-01-26,2024-01,Referral,Free,B - Variant (AI Job Match),1,1,1,0,2,6.1,0.73,0.51,0.16
U00181,2024-02-28,2024-02,Organic Search,Free,B - Variant (AI Job Match),1,1,1,1,4,5.8,0.86,0.41,0.25
U00182,2024-11-02,2024-11,Organic Search,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00183,2024-05-10,2024-05,Organic Search,Free,A - Control (Old Onboarding),1,1,0,0,3,2.5,0.64,0.43,0.18
U00184,2024-04-27,2024-04,LinkedIn Ad,Pro,B - Variant (AI Job Match),1,1,1,1,3,5.5,0.75,0.14,0.32
U00185,2024-02-09,2024-02,Product Hunt,Free,B - Variant (AI Job Match),1,1,1,1,6,5.2,0.87,0.33,0.24
U00186,2024-06-15,2024-06,Organic Search,Team,A - Control (Old Onboarding),1,1,1,1,2,2.8,0.93,0.27,0.14
U00187,2024-08-11,2024-08,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,1,1,6,4.8,0.65,0.39,0.16
U00188,2024-09-18,2024-09,Referral,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00189,2024-06-28,2024-06,Referral,Pro,B - Variant (AI Job Match),1,1,1,0,4,5.6,0.81,0.33,0.18
U00190,2024-12-01,2024-12,Organic Search,Team,B - Variant (AI Job Match),1,1,1,0,2,3.2,0.63,0.4,0.2
U00191,2024-10-16,2024-10,Referral,Team,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00192,2024-06-10,2024-06,Organic Search,Free,A - Control (Old Onboarding),1,1,1,0,2,2.1,0.65,0.36,0.29
U00193,2024-06-07,2024-06,LinkedIn Ad,Free,A - Control (Old Onboarding),1,1,0,0,2,2.8,0.88,0.45,0.13
U00194,2024-02-16,2024-02,Referral,Free,A - Control (Old Onboarding),1,1,0,0,1,3.8,0.63,0.15,0.17
U00195,2024-08-18,2024-08,Twitter/X,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00196,2024-09-13,2024-09,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00197,2024-06-24,2024-06,Twitter/X,Free,B - Variant (AI Job Match),1,0,0,0,2,6.4,0.86,0.31,0.26
U00198,2024-08-12,2024-08,LinkedIn Ad,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00199,2024-07-17,2024-07,LinkedIn Ad,Free,B - Variant (AI Job Match),0,0,0,0,0,0.0,0.0,0.0,0.0
U00200,2024-11-27,2024-11,Organic Search,Free,B - Variant (AI Job Match),1,1,0,0,1,4.4,0.51,0.37,0.17
U00201,2024-11-04,2024-11,Product Hunt,Free,B - Variant (AI Job Match),1,1,0,0,1,3.6,0.72,0.52,0.3
U00202,2024-12-23,2024-12,Referral,Free,B - Variant (AI Job Match),1,1,0,0,1,5.1,0.87,0.33,0.17
U00203,2024-06-17,2024-06,Product Hunt,Free,B - Variant (AI Job Match),1,1,1,0,4,3.6,0.72,0.35,0.1
U00204,2024-08-04,2024-08,LinkedIn Ad,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00205,2024-06-23,2024-06,Twitter/X,Free,A - Control (Old Onboarding),1,1,0,0,2,0.9,0.66,0.42,0.09
U00206,2024-02-21,2024-02,LinkedIn Ad,Free,B - Variant (AI Job Match),1,1,0,0,1,4.2,0.63,0.26,0.19
U00207,2024-11-12,2024-11,Organic Search,Free,A - Control (Old Onboarding),0,0,0,0,0,0.0,0.0,0.0,0.0
U00208,2024-11-15,2024-11,Product Hunt,Free,A - Control (Old Onboarding),1,1,1,0,2,2.7,0.62,0.21,0.18
U00209,2024-05-25,2024-05,Referral,Pro,A - Control (Old Onboarding),1,1,0,0,1,1.6,1.0,0.35,0.13
U00210,2024-04-09,2024-04,LinkedIn Ad,Team,B - Variant (AI Job Match),1,1,1,0,3,3.6,0.84,0.39,0.2
U00211,2024-03-23,2024-03,Product Hunt,Pro,A - Control (Old Onboarding),1,1,0,0,3,4.0,0.94,0.47,0.14
U00212,2024-10-10,2024-10,Twitter/X,Pro,B - Variant (AI Job Match),1,1,1,0,5,5.4,0.96,0.42,0.15
